backend,triple,t1_us,t2_us,ratio,twoq_err,r_coh,idle_ns,cal_age_h,dd_name,p_bare,sem_bare,p_dd,sem_dd,p_zne,sem_zne,p_zne_dd,sem_zne_dd,p_theory,best
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.6104,0.004876595533771485,0.6543,0.0047559595246385354,0.6788000000000001,0.007729181069168971,0.7228999999999999,0.007558821303616061,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5759,0.004942056151036732,0.6151,0.004865716699521253,0.6641,0.007807132091875992,0.7053,0.007707956635840656,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5149,0.004997779406896627,0.5485,0.004976421907354721,0.6232500000000001,0.007837854728814512,0.66245,0.00782087813164225,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.6018,0.004895270779027449,0.6406,0.0047982459295038225,0.6773,0.00775291912765766,0.7146999999999999,0.007619099356223149,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5668,0.004955176687061724,0.604,0.00489064412935556,0.6589499999999999,0.007819900239133488,0.6992999999999999,0.007738146483493318,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5073,0.004999467071598732,0.5388,0.004984922868009093,0.61715,0.007833272990902335,0.6550999999999999,0.007824468991567414,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5723,0.004947450959837803,0.6054,0.004887646059198641,0.6605000000000001,0.007813638045110613,0.6996000000000001,0.007734870005371777,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5381,0.004985462766885337,0.5695,0.004951461905336645,0.6388,0.007842621723632984,0.67655,0.007803234249335335,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.4838,0.004997374910890717,0.5102,0.004998959491734255,0.59635,0.007809309108365477,0.63095,0.00781914949019393,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5939,0.004911036448653176,0.6317,0.004823433528100081,0.67465,0.007771864882381834,0.7120500000000001,0.007653520415468949,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5601,0.004963748482749705,0.5951,0.004908726820673564,0.657,0.007825624927122434,0.69455,0.007758591157549159,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5013,0.004999983099971439,0.5315,0.004990067634812178,0.6138499999999999,0.007826075565058134,0.6496,0.007824908402019796,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5781,0.004938627238413525,0.6132,0.004870172070882095,0.6641499999999998,0.007804273684975432,0.7032999999999999,0.007713920598502424,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.5451,0.004979618358870487,0.5775,0.004939572349910466,0.64665,0.007836979504247794,0.6825,0.007791642156824196,0.7812499999999999,ZNE+DD
generic_backend_3q,0-1-2,174.41545932018934,143.97066976388854,0.4127233627255177,0.0013845564872180657,31.790026003331683,1240.314,nan,CPMG2,0.4906,0.004999116321911304,0.5168,0.004997176802955845,0.6048,0.007814499216200614,0.6370500000000001,0.00782211312562021,0.7812499999999999,ZNE+DD
