backend,triple,t1_us,t2_us,ratio,twoq_err,r_coh,idle_ns,cal_age_h,dd_name,p_bare,sem_bare,p_dd,sem_dd,p_zne,sem_zne,p_zne_dd,sem_zne_dd,p_theory,best
FakeBrisbane,0-1-2,207.1357440297392,179.015973384707,0.4321223606848972,0.007253518802722486,10.113896801395875,3540.0000000000005,11947.78886716139,CPMG2,0.545,0.004979708826829135,0.5416,0.004982664347515293,0.6585000000000001,0.00782408301336329,0.65025,0.00783191303258661,0.7812499999999999,ZNE
FakeKyoto,0-1-2,158.08439605962664,48.352055182863964,0.15293114433832677,1.0,2.722525629665763,3480.0,20691.739792246943,CPMG2,0.1287,0.0033486760070212825,0.1265,0.003324120184349537,0.13090000000000002,0.005286956355030747,0.12890000000000001,0.005247306118381126,0.7812499999999999,ZNE
FakeSherbrooke,0-1-2,295.24920560567614,204.34722691553887,0.3460588937002212,0.008141131614989111,13.976813611380182,2837.3333333333335,11947.712644186946,CPMG2,0.5718,0.004948179059007465,0.5672,0.004954635809017652,0.6784999999999999,0.0077999235252661295,0.6736,0.007807301198237455,0.7812499999999999,ZNE
